species,year,val
Heterophasia desgodinsi,1971,5.86852979660034
Heteroxenicus stellatus,1971,4.65721368789673
Hieraaetus pennatus,1971,1.8266304731369
Hierococcyx nisicolor,1971,6.2598295211792
Hirundapus caudacutus,1971,2.95721101760864
Hirundo rustica,1971,3.69593214988709
Histrionicus histrionicus,1971,2.71589374542236
Hydrocoloeus minutus,1971,4.33123397827148
Hydrophasianus chirurgus,1971,6.27461051940918
Hydroprogne caspia,1971,5.45989799499512
Hypothymis azurea,1971,6.31782245635986
Hypsipetes leucocephalus,1971,5.80905246734619
Ianthocincla lunulata,1971,4.68582916259766
Ibidorhyncha struthersii,1971,2.72113156318665
Ictinaetus malaiensis,1971,6.47745561599731
Iduna caligata,1971,2.63736987113953
Indicator xanthonotus,1971,5.10600233078003
Ixobrychus cinnamomeus,1971,5.84891843795776
Ixobrychus eurhythmus,1971,4.4695839881897
Ixobrychus minutus,1971,3.03255343437195
Ixos mcclellandii,1971,6.40376329421997
Ketupa flavipes,1971,6.29700374603272
Lalage melaschistos,1971,5.7077260017395
Lanius borealis,1971,2.44140768051147
Lanius collurioides,1971,6.63307285308838
Lanius isabellinus,1971,3.14410996437073
Lanius schach,1971,5.58720207214356
Lanius sphenocercus,1971,3.014728307724
Lanius tephronotus,1971,3.16902542114258
Larus crassirostris,1971,5.89115238189697
Larvivora brunnea,1971,3.77968239784241
Larvivora cyane,1971,2.35686492919922
Leptopoecile elegans,1971,2.35302901268005
Leptoptilos javanicus,1971,6.19571733474731
Limnodromus semipalmatus,1971,2.27591156959534
Limosa limosa,1971,2.40038204193115
Linaria cannabina,1971,3.06238150596619
Locustella davidi,1971,2.35881853103638
Locustella mandelli,1971,6.23862886428833
Lonchura striata,1971,6.52960634231567
Lophotriorchis kienerii,1971,7.40801429748535
Lophura leucomelanos,1971,4.6504430770874
Lophura nycthemera,1971,6.58245754241943
Loxia curvirostra,1971,2.45600605010986
Macropygia unchall,1971,6.05745315551758
Mareca falcata,1971,2.06498980522156
Megaceryle lugubris,1971,5.81077146530151
Melanitta fusca,1971,2.32813882827759
Melanitta stejnegeri,1971,1.16491591930389
Melanochlora sultanea,1971,6.52646017074585
Mergus serrator,1971,2.43049120903015
Merops philippinus,1971,6.52017402648926
Mixornis gularis,1971,6.09369707107544
Monticola gularis,1971,2.69054889678955
Monticola rufiventris,1971,5.85217523574829
Monticola solitarius,1971,4.74872732162476
Motacilla citreola,1971,2.63131809234619
Moupinia poecilotis,1971,3.58875632286072
Muscicapa dauurica,1971,2.51451516151428
Muscicapa ferruginea,1971,5.18455457687378
Muscicapa muttui,1971,6.19517612457275
Mycerobas affinis,1971,3.23522329330444
Mycerobas carnipes,1971,2.68816661834717
Myiomela leucura,1971,5.77515125274658
Myophonus caeruleus,1971,5.1521520614624
Netta rufina,1971,3.24679970741272
Niltava davidi,1971,6.11888408660889
Niltava grandis,1971,5.84187936782837
Niltava macgrigoriae,1971,6.24420309066773
Niltava sundara,1971,4.87993383407593
Ninox japonica,1971,4.81752586364746
Nipponia nippon,1971,5.41556835174561
Nisaetus nipalensis,1971,5.99376106262207
Numenius madagascariensis,1971,2.32413935661316
Nycticorax nycticorax,1971,5.6402473449707
Oenanthe deserti,1971,2.78287363052368
Oenanthe oenanthe,1971,3.10750079154968
Onychoprion anaethetus,1971,7.16825151443481
Oriolus oriolus,1971,2.86576128005981
Otus lettia,1971,6.38525152206421
Otus semitorques,1971,3.91875982284546
Otus spilocephalus,1971,6.13494873046875
Oxyura leucocephala,1971,3.58483719825745
Panurus biarmicus,1971,3.12311601638794
Paradoxornis guttaticollis,1971,6.17021751403809
Paradoxornis heudei,1971,5.06108522415161
Parayuhina diademata,1971,5.28897190093994
Pardaliparus venustulus,1971,5.42974424362183
Parus monticolus,1971,5.23549509048462
